# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,44.9036876583119,0.0,-0.22889136967526685,-4.368884687171568,0.0,0.0
 0.07648406845798783,0.014624531819715425,0.1912101711449696,2.5000000000000004,44.9036876583119,0.0,-0.22889136967526685,-4.368884687171568,0.0,0.0
 0.10820436840919408,0.0292704633570815,0.46172109216795487,8.528006400919875,44.711753684430484,0.0,-0.22741328145982778,-4.397280552748405,-6.050824682511089,-190.7555947396075
 0.13257117676046173,0.04393779226913398,0.6019388629241396,5.754457815518133,44.520780324318146,0.0,-0.22594721033835405,-4.425812553748765,-7.8374384268675845,-73.32161514963234
 0.15313590627561544,0.05862651447713521,0.7142677075901936,5.4622087094936695,44.33076113769412,0.0,-0.22449312870694718,-4.454479323086088,-9.240052804195601,-68.20485415548312
 0.17127361055857138,0.07333662418442295,0.8110237920854669,5.334527621899498,44.14168968473817,0.0,-0.22305100671147773,-4.483279473800026,-10.424221831294403,-65.2877017193167
 0.18768922600311944,0.08806811389412512,0.8974070914042265,5.262263824987999,43.95355952730488,0.0,-0.22162081237736764,-4.512211598147368,-11.46043887716461,-63.12386211595584
 0.2028013554459057,0.10282097442674147,0.9762264536225632,5.215635726039986,43.76636423012685,0.0,-0.22020251175927075,-4.541274266177388,-12.38708931701224,-61.318323361104255
 0.21688263640742156,0.11759519493758458,1.0492099796333192,5.183017525906904,43.58009736195685,0.0,-0.21879606877727145,-4.570466030712706,-13.227977531238537,-59.716741433143945
 0.23012236999829846,0.13239076293408447,1.1175125160142998,5.158905646564201,43.394752496700896,0.0,-0.21740144556096275,-4.5997854219400045,-13.999138576600446,-58.24596394396434
 0.2426583312338213,0.14720766429295737,1.1819517530802999,5.140350696315193,43.21032321448179,0.0,-0.21601860238266146,-4.629230950344599,-14.712017591159908,-56.86672135993807
 0.25459448798215223,0.16204588327723565,1.2431320480399322,5.125627641257922,43.026803102695126,0.0,-0.21464749782550552,-4.658801104743998,-15.375142573619978,-55.555988115923334
 0.2660115806149474,0.17690540255315668,1.3015151714927509,5.113659434199158,42.84418575702012,0.0,-0.21328808873461927,-4.688494354901534,-15.995083122163908,-54.29933595906652
 0.27697379168933484,0.19178620320691764,1.3574634307607043,5.103738551310442,42.662464782397,0.0,-0.21194033036470952,-4.718309149934737,-16.577036638867305,-53.08723876546185
 0.2875331387936268,0.20668826476128765,1.4112673262074047,5.095380890058175,42.481633793970644,0.0,-0.21060417652828095,-4.748243916547947,-17.125205435557675,-51.91313357504469
 0.29773247400448744,0.221611565192082,1.4631640319952863,5.088243960510295,42.301686418005055,0.0,-0.2092795794855701,-4.77829706299152,-17.64304949738061,-50.77233477643882
 0.30760759479863126,0.23655608094449732,1.5133501720077962,5.082078595157179,42.12261629276353,0.0,-0.20796649015113672,-4.8084669759693695,-18.133461754484028,-49.66139324536108
 0.3171887683694416,0.25152178694930816,1.5619909079201761,5.076699169772589,41.94441706936202,0.0,-0.20666485812189836,-4.838752021449936,-18.598893140232022,-48.57770108308634
 0.32650185704765816,0.26650865663892354,1.609226563542755,5.071964549533779,41.76708241258263,0.0,-0.20537463172438106,-4.869150545048963,-19.04144402642396,-47.51923894240054
 0.33556916542692256,0.2815166619633033,1.6551775561864535,5.067765506771744,41.590606001669805,0.0,-0.20409575808143876,-4.899660871937268,-19.462932496748966,-46.48440890009779
 0.34441008893802083,0.29654577340573857,1.6999481359123565,5.064016182212321,41.41498153108907,0.0,-0.20282818319879006,-4.930281306222168,-19.864946276287842,-45.471921460943825
 0.35304161794241223,0.3115959599984904,1.7436292672010758,5.060648150112914,41.24020271126125,0.0,-0.20157185193060365,-4.961010133221755,-20.248882873346773,-44.48071678419907
 0.3614787348314091,0.3266671893382903,1.7863008819345478,5.05760620539958,41.066263269262684,0.0,-0.20032670820605458,-4.991845615370504,-20.615981061660175,-43.50990902972402
 0.3697347306389844,0.34175942760170575,1.8280336636759835,5.054845316556934,40.89315694951195,0.0,-0.19909269493385645,-5.02278599590118,-20.967345888415014,-42.55874578236158
 0.37782146024828256,0.35687263956036136,1.8688904772181736,5.052328384420396,40.72087751441334,0.0,-0.19786975412760746,-5.053829497130186,-21.303968776266895,-41.62657886629828
 0.3857495501467387,0.3720067885960281,1.908927525987552,5.050024568613314,40.54941874498691,0.0,-0.1966578269096925,-5.084974321714697,-21.62674384656301,-40.71284186106059
 0.3935285690851797,0.3871618367155726,1.9481952980797976,5.04790802066298,40.37877444146768,0.0,-0.19545685359571274,-5.116218651858696,-21.936481305627094,-39.81703367933378
 0.4011671694272946,0.40233774456576915,1.986739346281185,5.045956912927824,40.208938423881264,0.0,-0.1942667737992979,-5.147560647880662,-22.233918516463014,-38.93870572021202
 0.4086732051152745,0.417534471447978,2.0246009363564212,5.0441526858002135,40.03990453259694,0.0,-0.1930875263328748,-5.178998452111515,-22.519729230040355,-38.077451994403994
 0.4160538308116788,0.43275197533268256,2.061817589817383,5.042479457953403,39.87166662885244,0.0,-0.19191904943392624,-5.210530184208104,-22.79453133986512,-37.232901535522416
 0.42331558576263034,0.44799021287389706,2.0984235414357726,5.040923559888641,39.70421859526224,0.0,-0.19076128064421016,-5.24215394561701,-23.058893438459087,-36.40471213633075
